iter	Passed	Remaining
596	1382	933
597	1384	930
598	1386	927
599	1387	925
600	1389	922
601	1391	919
602	1392	917
603	1394	914
604	1396	911
605	1397	908
606	1399	905
607	1400	903
608	1402	900
609	1403	897
610	1405	894
611	1407	892
612	1408	889
613	1411	887
614	1412	884
615	1414	881
616	1416	879
617	1418	876
618	1420	874
619	1422	871
620	1424	869
621	1426	866
622	1428	864
623	1429	861
624	1431	858
625	1433	856
626	1436	854
627	1438	851
628	1439	849
629	1441	846
630	1443	843
631	1444	841
632	1446	838
633	1448	836
634	1452	835
635	1454	832
636	1456	830
637	1459	828
638	1461	825
639	1463	823
640	1465	820
641	1466	818
642	1468	815
643	1469	812
644	1471	809
645	1473	807
646	1475	804
647	1476	802
648	1478	799
649	1479	796
650	1481	794
651	1483	791
652	1484	788
653	1486	786
654	1487	783
655	1489	781
656	1490	778
657	1492	775
658	1493	772
659	1495	770
660	1497	767
661	1498	765
662	1500	762
663	1502	760
664	1503	757
665	1505	754
666	1507	752
667	1508	749
668	1510	747
669	1512	744
670	1514	742
671	1516	740
672	1518	737
673	1520	735
674	1524	733
675	1525	731
676	1527	728
677	1529	726
678	1531	724
679	1533	721
680	1535	719
681	1536	716
682	1538	713
683	1539	711
684	1541	708
685	1543	706
686	1544	703
687	1546	701
688	1548	698
689	1549	696
690	1551	693
691	1553	691
692	1555	689
693	1557	686
694	1559	684
695	1561	681
696	1562	679
697	1564	676
698	1565	674
699	1567	671
700	1568	669
701	1570	666
702	1572	664
703	1574	661
704	1575	659
705	1576	656
706	1578	654
707	1580	651
708	1582	649
709	1584	647
710	1585	644
711	1587	642
712	1589	639
713	1591	637
714	1593	635
715	1595	632
716	1597	630
717	1599	628
718	1600	625
719	1602	623
720	1604	620
721	1607	619
722	1609	616
723	1610	614
724	1612	611
725	1614	609
726	1616	607
727	1619	605
728	1621	602
729	1622	600
730	1624	597
731	1626	595
732	1628	593
733	1630	590
734	1632	588
735	1635	586
736	1636	584
737	1638	581
738	1640	579
739	1641	576
740	1644	574
741	1646	572
742	1648	570
743	1650	568
744	1653	565
745	1655	563
746	1657	561
747	1660	559
748	1661	556
749	1663	554
750	1664	551
751	1666	549
752	1667	547
753	1669	544
754	1671	542
755	1673	540
756	1674	537
757	1676	535
758	1678	532
759	1680	530
760	1681	528
761	1683	525
762	1684	523
763	1687	521
764	1688	518
765	1690	516
766	1692	514
767	1694	511
768	1697	509
769	1700	507
770	1702	505
771	1704	503
772	1706	501
773	1708	498
774	1710	496
775	1711	494
776	1714	492
777	1716	489
778	1718	487
779	1720	485
780	1722	483
781	1725	480
782	1727	478
783	1728	476
784	1730	473
785	1732	471
786	1734	469
787	1735	466
788	1737	464
